alg,dataset,n_samples,missing_percentage,time,execution,ACC,MCC,F1,precision,recall,ami,ari,completeness,silhouette,vrc,db,dunn,random_acc,random_f1,label_sizes,cluster_sizes,relative_label_sizes,relative_cluster_sizes,n_clustered_samples,percentage_clustered_samples,sub_ACC,sub_MCC,sub_F1,sub_precision,sub_recall,sub_ami,sub_ari,sub_completeness,sub_silhouette,sub_vrc,sub_db,sub_dunn,sub_random_acc,sub_random_f1,sub_label_sizes,sub_relative_label_sizes,comments
NEMO,nutrimouse_genotype,40,30,0.03995690299780108,1,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,0.10849483089000087,2.40680805069147,2.2673144304026516,0.2609640166225871,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 36, 0: 4}","{1: 0.5, 0: 0.5}","{1: 0.9, 0: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.03569389201584272,2,0.6,0.3333333333333333,0.7142857142857143,0.5555555555555556,1.0,0.12090523533434401,0.031055900621118012,0.23034661225454323,-0.08179788081028916,0.6146015009985079,3.987170377187518,0.1536433127785769,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.03589033900061622,3,0.6,0.3333333333333333,0.33333333333333337,1.0,0.2,0.12090523533434401,0.031055900621118012,0.23034661225454323,0.08763898110274222,2.927793920391261,1.8525716934295255,0.21820752525814327,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.03650537400972098,4,0.575,0.2847473987257497,0.2608695652173913,1.0,0.15,0.08371135222283486,0.015494867325198529,0.20658081439824047,0.03898653517918805,1.892167971226989,1.987360963770969,0.22371206178060055,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.036560359003487974,5,0.6,0.3333333333333333,0.7142857142857143,0.5555555555555556,1.0,0.12090523533434401,0.031055900621118012,0.23034661225454323,-0.0553992469133109,0.7032935951975561,3.8675496968078935,0.13285386038309457,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 36, 1: 4}","{1: 0.5, 0: 0.5}","{0: 0.9, 1: 0.1}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.036907506990246475,6,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.07680551497485302,3.9025995589344458,2.974230184395007,0.28535347911307496,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 20, 1: 20}","{1: 0.5, 0: 0.5}","{0: 0.5, 1: 0.5}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.03611641901079565,7,0.575,0.2847473987257497,0.2608695652173913,1.0,0.15,0.08371135222283486,0.015494867325198529,0.20658081439824047,0.0410873097481971,1.763267135315109,2.086249855401922,0.24518236148137626,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.036461031006183475,8,0.7,0.5,0.5714285714285715,1.0,0.4,0.25785941142033364,0.145985401459854,0.32752956885120293,0.08744738777624109,2.94434905482967,2.7259984022674812,0.22384727054057998,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 32, 1: 8}","{1: 0.5, 0: 0.5}","{0: 0.8, 1: 0.2}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,30,0.03631964500527829,9,0.575,0.2847473987257497,0.7017543859649124,0.5405405405405406,1.0,0.08371135222283486,0.015494867325198529,0.20658081439824047,0.00603497828313517,1.4920682227093724,2.2564241808921275,0.2631554388612523,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
NEMO,nutrimouse_genotype,40,40,0.03473071398911998,0,0.575,0.2847473987257497,0.2608695652173913,1.0,0.15,0.08371135222283486,0.015494867325198529,0.20658081439824047,0.06866671953313691,1.8057709029165794,2.0879257656833166,0.30700462836390635,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
