alg,dataset,n_samples,% incomplete samples,time,execution,ACC,MCC,F1,precision,recall,ami,ari,completeness,silhouette,vrc,db,dunn,random_acc,random_f1,label_sizes,cluster_sizes,relative_label_sizes,relative_cluster_sizes,n_clustered_samples,percentage_clustered_samples,sub_ACC,sub_MCC,sub_F1,sub_precision,sub_recall,sub_ami,sub_ari,sub_completeness,sub_silhouette,sub_vrc,sub_db,sub_dunn,sub_random_acc,sub_random_f1,sub_label_sizes,sub_relative_label_sizes,comments
MOFA,nutrimouse_genotype,40,30,0.1408213200047612,6,0.55,0.1020620726159657,0.5909090909090908,0.5416666666666666,0.65,-0.0116464309346966,-0.0149842271293375,0.0077546064815459,0.0881236610972943,5.009712322204704,2.605399605413578,0.3270450074799589,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 24, 1: 16}","{1: 0.5, 0: 0.5}","{0: 0.6, 1: 0.4}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.179266715014819,7,0.55,0.2294157338705617,0.1818181818181818,1.0,0.1,0.0430722435235587,0.0051533110023189,0.1812140772861008,0.3573443605295234,6.382487020623782,0.9164484130556636,0.6101147038969097,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 38, 1: 2}","{1: 0.5, 0: 0.5}","{0: 0.95, 1: 0.05}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.2467642650008201,8,0.7,0.4364357804719848,0.75,0.6428571428571429,0.9,0.1386967922386788,0.1415094339622641,0.1665660028535331,0.0925730301478267,4.658971283909836,2.486861669298081,0.1896001687517831,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 28, 0: 12}","{1: 0.5, 0: 0.5}","{1: 0.7, 0: 0.3}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,30,0.3446401399560272,9,0.75,0.502518907629606,0.7368421052631577,0.7777777777777778,0.7,0.1763561565029824,0.2304656669297553,0.1925562811985171,0.0834356726594394,4.51550661363746,2.768965591020588,0.3245828446838064,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 22, 0: 18}","{1: 0.5, 0: 0.5}","{1: 0.55, 0: 0.45}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1898359740152955,0,0.55,0.125,0.3571428571428571,0.625,0.25,-0.0096200150392481,-0.0065172054223149,0.0157479399681345,0.1666709498710389,5.972883668833149,1.930913009202864,0.4059502843715263,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 32, 1: 8}","{1: 0.5, 0: 0.5}","{0: 0.8, 1: 0.2}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1941913409973494,1,0.575,0.1796053020267749,0.4137931034482758,0.6666666666666666,0.3,0.0050323317342246,0.0046994321519483,0.0307169101794461,0.1073904498077632,4.114090662661587,2.4773966551935858,0.4011583426880653,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 31, 1: 9}","{1: 0.5, 0: 0.5}","{0: 0.775, 1: 0.225}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1519874400109984,2,0.5,0.0,0.3749999999999999,0.5,0.3,-0.0205688072832593,-0.0220125786163522,0.0,0.0764469466896612,3.645040825852409,2.858072459122454,0.3006647283724288,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 28, 0: 12}","{1: 0.5, 0: 0.5}","{1: 0.7, 0: 0.3}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1499044849770143,3,0.55,0.2294157338705617,0.1818181818181818,1.0,0.1,0.0430722435235587,0.0051533110023189,0.1812140772861008,0.275691321146594,4.380361296174995,1.0530007640844092,0.6024577515176067,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 38, 1: 2}","{1: 0.5, 0: 0.5}","{0: 0.95, 1: 0.05}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1717934419866651,4,0.575,0.2847473987257497,0.7017543859649124,0.5405405405405406,1.0,0.0837113522228348,0.0154948673251985,0.2065808143982404,0.2454484901189782,5.090484635244267,1.2003520327893282,0.5854595177034954,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 37, 1: 3}","{1: 0.5, 0: 0.5}","{0: 0.925, 1: 0.075}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1619858730118721,5,0.55,0.2294157338705617,0.1818181818181818,1.0,0.1,0.0430722435235587,0.0051533110023189,0.1812140772861008,0.3529164803521126,6.467399627209372,0.8672470520838116,0.6576949869276176,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 38, 0: 2}","{1: 0.5, 0: 0.5}","{1: 0.95, 0: 0.05}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1688554889988154,6,0.575,0.1679677532867562,0.4516129032258064,0.6363636363636364,0.35,0.0016737355340166,0.002094103789019,0.0242179568454082,0.0963333671041312,3.925607031980393,2.709711466154773,0.3477469129158654,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 29, 1: 11}","{1: 0.5, 0: 0.5}","{0: 0.725, 1: 0.275}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1662778219906613,7,0.55,0.2294157338705617,0.1818181818181818,1.0,0.1,0.0430722435235587,0.0051533110023189,0.1812140772861008,0.3346039514081476,5.774708958531478,0.9720421947769404,0.4836514404570088,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 38, 0: 2}","{1: 0.5, 0: 0.5}","{1: 0.95, 0: 0.05}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1745461570098996,8,0.525,0.1601281538050871,0.0952380952380952,1.0,0.05,-9.135360896373223e-16,0.0,0.1509682930880422,0.3756162813081214,3.993433058724477,0.4719611584867695,0.8588856322996029,0.5,0.3333333333333333,"{1: 20, 0: 20}","{0: 39, 1: 1}","{1: 0.5, 0: 0.5}","{0: 0.975, 1: 0.025}",40,100,,,,,,,,,,,,,,,,,
MOFA,nutrimouse_genotype,40,40,0.1703985470230691,9,0.7,0.5,0.7692307692307693,0.625,1.0,0.2578594114203336,0.145985401459854,0.3275295688512029,0.1268969284188023,5.8046310377229045,1.8296032520468384,0.3894308141708791,0.5,0.3333333333333333,"{1: 20, 0: 20}","{1: 32, 0: 8}","{1: 0.5, 0: 0.5}","{1: 0.8, 0: 0.2}",40,100,,,,,,,,,,,,,,,,,
